Date,CPC,Liberal,NDP,BQ,Green
Dec-14,35%,32%,23%,4%,4%
Mar-15,34%,32%,22%,4%,5%
Jun-15,33%,23%,36%,4%,4%
Aug-15,32%,23%,36%,4%,4%
Sep-15,34%,27%,27%,6%,5%
Oct-15,31%,35%,22%,5%,5%
Dec-15,29%,42%,18%,5%,5%
Feb-16,29%,41%,19%,5%,6%
May-16,30%,42%,18%,4%,5%
Sep-16,28%,44%,17%,4%,5%
Dec-16,32%,36%,21%,4%,6%
Mar-17,35%,35%,20%,4%,5%
Jun-17,34%,37%,17%,4%,6%
Oct-17,35%,35%,18%,4%,6%
Dec-17,36%,32%,21%,4%,7%
Mar-18,40%,30%,19%,4%,6%
Feb-19,38%,31%,14%,5%,8%
Mar-19,37%,28%,17%,5%,8%
May-19,38%,25%,18%,5%,11%
Jun-19,37%,26%,15%,5%,12%
Jul-19,38%,30%,14%,4%,10%
Dec-19,33%,30%,19%,8%,7%
Feb-20,34%,26%,21%,9%,7%
Apr-20,33%,36%,17%,8%,4%
May-20,31%,37%,17%,7%,5%
Sep-20,35%,35%,17%,7%,4%
Nov-20,33%,35%,18%,7%,5%
Dec-20,33%,34%,19%,6%,4%
Jan-21,30%,35%,20%,6%,5%
Feb-21,31%,34%,20%,7%,5%
Mar-21,31%,35%,19%,6%,4%
Apr-21,32%,34%,20%,7%,5%
May-21,32%,34%,18%,7%,5%
Jun-21,30%,33%,21%,6%,4%
Jul-21,31%,33%,20%,7%,3%
Jul-21,30%,33%,21%,7%,4%
Aug-21,30%,35%,19%,7%,3%
Aug-21,31%,36%,19%,7%,3%
Aug-21,30%,36%,20%,6%,4%
Aug-21,31%,33%,22%,7%,3%
Aug-21,33%,30%,21%,7%,3%
Sep-21,35%,32%,20%,6%,2%
Sep-21,32%,30%,21%,7%,2%
Sep-21,32%,30%,20%,7%,3%
Nov-21,29%,35%,20%,7%,2%
Jan-22,29%,34%,20%,5%,3%
Mar-22,35%,35%,19%,5%,2%
Sep-22,37%,30%,20%,7%,3%
Mar-23,35%,29%,20%,8%,4%
Jun-23,37%,29%,20%,8%,4%
Aug-23,38%,31%,18%,7%,5%
Sep-23,39%,27%,19%,8%,4%
Oct-23,39%,28%,21%,7%,3%
Nov-23,41%,27%,20%,7%,4%
Dec-23,41%,24%,20%,9%,4%
Jan-24,41%,24%,20%,9%,4%
Mar-24,40%,23%,21%,9%,4%
Apr-24,43%,23%,19%,8%,4%
Jun-24,42%,21%,20%,10%,4%
Sep-24,43%,21%,20%,10%,4%
Oct-24,43%,22%,19%,10%,4%
Dec-24,43%,21%,20%,11%,4%
Dec-24,45%,16%,21%,11%,3%
Jan-25,43%,29%,13%,10%,3%
Feb-25,40%,37%,10%,7%,4%
Mar-25,40%,37%,11%,9%,2%
Mar-25,37%,42%,9%,8%,2%
Mar-25,38%,46%,7%,6%,1%
Mar-25,38%,46%,7%,7%,1%
Apr-25,36%,46%,7%,7%,2%
Apr-25,39%,46%,7%,7%,1%
Sep-25,40%,38%,10%,8%,2%
Nov-25,38%,40%,9%,8%,3%
Dec-25,37%,40%,10%,9%,3%
Jan-26,38%,41%,10%,7%,3%
Feb-26,32%,45%,10%,7%,4%
