date,LPC_mean,LPC_std,CPC_mean,CPC_std,NDP_mean,NDP_std,BQ_mean,BQ_std,GPC_mean,GPC_std,PPC_mean,PPC_std
2026-02-18,41.82,3.08,36.03,2.13,9.75,2.31,7.01,1.07,3.02,0.71,1.52,0.51
2026-02-19,41.82,3.08,36.03,2.13,9.75,2.31,7.01,1.07,3.02,0.71,1.52,0.51
2026-02-20,41.73,2.92,35.82,2.11,9.88,2.21,7.12,1.05,3.23,0.91,1.45,0.51
2026-02-21,41.98,2.94,35.6,2.16,9.81,2.14,7.03,1.05,3.21,0.87,1.5,0.51
2026-02-22,41.98,2.94,35.6,2.16,9.81,2.14,7.03,1.05,3.21,0.87,1.5,0.51
2026-02-23,42.43,2.84,35.47,2.35,9.59,2.1,6.94,1.0,3.27,0.83,1.44,0.51
2026-02-24,42.78,2.99,35.36,2.29,9.55,2.02,6.94,0.96,3.27,0.83,1.44,0.51
2026-02-25,42.78,2.99,35.36,2.29,9.55,2.02,6.94,0.96,3.27,0.83,1.44,0.51
2026-02-26,42.87,2.89,35.41,2.21,9.43,1.99,6.95,0.92,3.24,0.8,1.4,0.5
2026-02-27,42.97,2.78,35.2,2.22,9.57,1.95,6.78,1.04,3.41,0.92,1.35,0.48
2026-02-28,42.97,2.69,35.05,2.21,9.53,1.89,6.73,1.02,3.38,0.89,1.41,0.5
2026-03-01,42.97,2.69,35.05,2.21,9.53,1.89,6.73,1.02,3.38,0.89,1.41,0.5
2026-03-02,43.64,3.02,35.11,2.06,9.01,2.18,6.41,1.24,3.25,0.9,1.56,0.66
2026-03-03,43.64,3.02,35.11,2.06,9.01,2.18,6.41,1.24,3.25,0.9,1.56,0.66
2026-03-04,43.64,3.02,35.11,2.06,9.01,2.18,6.41,1.24,3.25,0.9,1.56,0.66
2026-03-05,43.64,3.02,35.11,2.06,9.01,2.18,6.41,1.24,3.25,0.9,1.56,0.66
2026-03-06,44.0,2.9,34.64,2.22,9.17,2.04,6.19,1.25,3.42,1.0,1.49,0.65
2026-03-07,44.0,2.81,34.35,2.43,9.16,1.97,6.18,1.21,3.39,0.97,1.71,0.94
2026-03-08,44.0,2.81,34.35,2.43,9.16,1.97,6.18,1.21,3.39,0.97,1.71,0.94
2026-03-09,44.0,2.81,34.35,2.43,9.16,1.97,6.18,1.21,3.39,0.97,1.71,0.94
2026-03-10,44.0,2.81,34.35,2.43,9.16,1.97,6.18,1.21,3.39,0.97,1.71,0.94
2026-03-11,44.17,2.74,34.41,2.33,8.97,1.98,6.25,1.18,3.35,0.93,1.63,0.91
2026-03-12,44.17,2.74,34.41,2.33,8.97,1.98,6.25,1.18,3.35,0.93,1.63,0.91
2026-03-13,44.53,2.84,34.09,2.43,9.16,1.98,6.13,1.18,3.42,0.9,1.55,0.88
2026-03-14,44.56,2.74,33.88,2.47,9.08,1.93,6.12,1.14,3.39,0.87,1.76,1.09
2026-03-15,44.82,2.79,33.37,2.98,9.52,2.42,5.96,1.23,3.52,0.94,1.79,1.04
2026-03-16,44.82,2.79,33.37,2.98,9.52,2.42,5.96,1.23,3.52,0.94,1.79,1.04
2026-03-17,44.75,2.67,33.6,2.94,9.48,2.31,6.06,1.21,3.37,1.0,1.79,1.04
2026-03-18,44.75,2.67,33.6,2.94,9.48,2.31,6.06,1.21,3.37,1.0,1.79,1.04
2026-03-19,44.75,2.67,33.6,2.94,9.48,2.31,6.06,1.21,3.37,1.0,1.79,1.04
2026-03-20,44.86,2.57,33.55,2.81,9.71,2.32,5.96,1.19,3.43,0.97,1.69,1.01
2026-03-21,44.94,2.49,33.44,2.74,9.66,2.25,6.03,1.18,3.4,0.94,1.72,0.96
2026-03-22,44.94,2.49,33.44,2.74,9.66,2.25,6.03,1.18,3.4,0.94,1.72,0.96
2026-03-23,44.94,2.49,33.44,2.74,9.66,2.25,6.03,1.18,3.4,0.94,1.72,0.96
2026-03-24,44.86,2.4,33.76,2.8,9.6,2.15,6.03,1.12,3.36,0.9,1.63,0.94
2026-03-25,44.86,2.4,33.76,2.8,9.6,2.15,6.03,1.12,3.36,0.9,1.63,0.94
2026-03-26,44.95,2.32,33.45,2.88,9.72,2.1,5.94,1.11,3.36,0.9,1.63,0.94
2026-03-27,45.15,2.28,33.31,2.77,9.84,2.03,5.85,1.1,3.43,0.87,1.56,0.9
2026-03-28,45.14,2.2,33.29,2.67,9.78,1.97,5.86,1.06,3.32,0.92,1.6,0.87
2026-03-29,45.14,2.2,33.29,2.67,9.78,1.97,5.86,1.06,3.32,0.92,1.6,0.87
2026-03-30,45.38,2.25,33.35,2.56,9.46,2.16,5.96,1.06,3.29,0.88,1.6,0.87
2026-03-31,45.38,2.25,33.35,2.56,9.46,2.16,5.96,1.06,3.29,0.88,1.6,0.87
2026-04-01,45.38,2.25,33.35,2.56,9.46,2.16,5.96,1.06,3.29,0.88,1.6,0.87
2026-04-02,45.38,2.25,33.35,2.56,9.46,2.16,5.96,1.06,3.29,0.88,1.6,0.87
2026-04-03,45.44,2.14,33.11,2.53,9.82,2.31,5.96,1.0,3.37,0.86,1.51,0.83
2026-04-04,45.34,2.1,33.1,2.44,9.76,2.23,5.97,0.97,3.34,0.83,1.56,0.8
2026-04-05,45.34,2.1,33.1,2.44,9.76,2.23,5.97,0.97,3.34,0.83,1.56,0.8
2026-04-06,45.34,2.1,33.1,2.44,9.76,2.23,5.97,0.97,3.34,0.83,1.56,0.8
2026-04-07,45.31,2.01,33.09,2.33,9.69,2.15,6.06,0.97,3.31,0.8,1.61,0.77
2026-04-08,45.37,1.87,33.75,2.74,9.32,2.05,6.05,0.85,3.28,0.76,1.54,0.75
2026-04-09,45.37,1.87,33.75,2.74,9.32,2.05,6.05,0.85,3.28,0.76,1.54,0.75
2026-04-10,45.34,1.79,33.6,2.66,9.55,2.1,5.95,0.87,3.35,0.75,1.47,0.72
2026-04-11,45.19,1.82,33.56,2.58,9.58,2.04,6.02,0.88,3.33,0.73,1.52,0.71
2026-04-12,45.19,1.82,33.56,2.58,9.58,2.04,6.02,0.88,3.33,0.73,1.52,0.71
2026-04-13,45.19,1.82,33.56,2.58,9.58,2.04,6.02,0.88,3.33,0.73,1.52,0.71
2026-04-14,45.19,1.82,33.56,2.58,9.58,2.04,6.02,0.88,3.33,0.73,1.52,0.71
2026-04-15,45.19,1.82,33.56,2.58,9.58,2.04,6.02,0.88,3.33,0.73,1.52,0.71
2026-04-16,45.19,1.82,33.56,2.58,9.58,2.04,6.02,0.88,3.33,0.73,1.52,0.71
2026-04-17,45.28,1.74,33.4,2.49,9.83,2.07,5.92,0.89,3.41,0.72,1.45,0.68
2026-04-18,45.25,1.68,33.37,2.39,9.84,1.99,5.92,0.85,3.37,0.7,1.5,0.67
2026-04-19,45.25,1.68,33.37,2.39,9.84,1.99,5.92,0.85,3.37,0.7,1.5,0.67
2026-04-20,44.93,1.87,33.53,2.32,10.06,1.99,6.03,0.87,3.22,0.79,1.5,0.67
2026-04-21,44.93,1.87,33.53,2.32,10.06,1.99,6.03,0.87,3.22,0.79,1.5,0.67
2026-04-22,45.02,1.73,33.39,2.57,10.03,1.99,6.19,0.87,3.17,0.84,1.5,0.63
2026-04-23,45.02,1.73,33.39,2.57,10.03,1.99,6.19,0.87,3.17,0.84,1.5,0.63
2026-04-24,45.02,1.65,33.26,2.48,10.22,1.98,6.08,0.9,3.25,0.83,1.44,0.62
2026-04-25,45.02,1.59,33.31,2.4,10.13,1.94,6.07,0.87,3.16,0.87,1.49,0.61
