date,firm,LPC,CPC,NDP,BQ,GPC,PPC,sample_size
2026-04-25,Liaison,45.0,34.0,9.0,6.0,2.0,2.0,
2026-04-24,Nanos,45.0,32.0,12.0,5.0,4.0,1.0,
2026-04-22,Abacus,45.0,36.0,8.0,7.0,2.0,1.0,
2026-04-22,EKOS,46.0,29.0,12.0,7.0,4.0,2.0,
2026-04-20,Angus Reid,42.0,35.0,12.0,7.0,2.0,,
2026-04-18,Liaison,45.0,33.0,10.0,6.0,3.0,2.0,
2026-04-17,Nanos,46.0,32.0,12.0,5.0,4.0,1.0,
2026-04-11,Liaison,43.0,33.0,10.0,7.0,3.0,2.0,
2026-04-10,Nanos,45.0,32.0,12.0,5.0,4.0,1.0,
2026-04-08,Spark,46.0,32.0,9.0,6.0,,,
2026-04-08,Abacus,44.0,38.0,8.0,6.0,3.0,1.0,
2026-04-07,Ipsos,45.0,33.0,9.0,7.0,3.0,2.0,
2026-04-04,Liaison,44.0,33.0,9.0,6.0,3.0,2.0,
2026-04-03,Nanos,46.0,31.0,13.0,6.0,4.0,1.0,
2026-03-30,Leger,48.0,34.0,6.0,7.0,3.0,,
2026-03-28,Liaison,45.0,33.0,9.0,6.0,2.0,2.0,
2026-03-27,Nanos,47.0,32.0,11.0,5.0,4.0,1.0,
2026-03-26,Spark,46.0,30.0,11.0,5.0,,,
2026-03-24,Abacus,44.0,37.0,9.0,6.0,3.0,1.0,
2026-03-21,Liaison,46.0,32.0,9.0,7.0,3.0,2.0,
2026-03-20,Nanos,46.0,33.0,12.0,5.0,4.0,1.0,
2026-03-17,Angus Reid,44.0,36.0,9.0,7.0,2.0,,
2026-03-15,EKOS,48.0,27.0,15.0,4.0,5.0,2.0,
2026-03-14,Liaison,45.0,31.0,8.0,6.0,3.0,4.0,
2026-03-13,Nanos,48.0,31.0,11.0,5.0,4.0,1.0,
2026-03-11,Abacus,46.0,35.0,7.0,7.0,3.0,1.0,
2026-03-07,Liaison,44.0,30.0,9.0,6.0,3.0,4.0,
2026-03-06,Spark,46.0,31.0,10.0,5.0,,,
