date,firm,region,LPC,CPC,NDP,BQ,GPC,PPC,sample_size
2026-04-25,Liaison,ON,58.0,33.0,12.0,,3.0,2.0,
2026-04-24,Nanos,ON,52.0,36.0,6.0,,2.0,1.0,
2026-04-22,Abacus,ON,50.0,38.0,8.0,,3.0,1.0,
2026-04-20,Angus Reid,ON,46.0,37.0,13.0,,3.0,,
2026-04-18,Liaison,ON,50.0,34.0,10.0,,3.0,1.0,
2026-04-17,Nanos,ON,54.0,32.0,9.0,,2.0,2.0,
2026-04-11,Liaison,ON,51.0,34.0,11.0,,2.0,2.0,
2026-04-10,Nanos,ON,53.0,31.0,12.0,,2.0,2.0,
2026-04-08,Spark,ON,50.0,33.0,9.0,,,,
2026-04-08,Abacus,ON,49.0,39.0,7.0,,2.0,1.0,
2026-04-07,Ipsos,ON,52.0,32.0,9.0,,3.0,4.0,
2026-04-04,Liaison,ON,51.0,34.0,10.0,,1.0,2.0,
2026-04-03,Nanos,ON,49.0,31.0,14.0,,3.0,3.0,
2026-03-30,Leger,ON,54.0,34.0,7.0,,4.0,,
2026-03-28,Liaison,ON,50.0,34.0,10.0,,3.0,2.0,
2026-03-27,Nanos,ON,49.0,34.0,12.0,,3.0,3.0,
2026-03-26,Spark,ON,47.0,33.0,13.0,,,,
2026-03-24,Abacus,ON,47.0,40.0,9.0,,2.0,1.0,
2026-03-21,Liaison,ON,49.0,33.0,11.0,,3.0,1.0,
2026-03-20,Nanos,ON,46.0,37.0,13.0,,2.0,1.0,
2026-03-17,Angus Reid,ON,49.0,38.0,9.0,,2.0,,
2026-03-15,EKOS,ON,47.0,31.0,16.0,,3.0,2.0,
2026-03-14,Liaison,ON,48.0,32.0,10.0,,3.0,4.0,
2026-03-13,Nanos,ON,46.0,39.0,11.0,,3.0,1.0,
2026-03-11,Abacus,ON,51.0,36.0,8.0,,2.0,2.0,
2026-03-07,Liaison,ON,47.0,30.0,12.0,,3.0,5.0,
2026-03-06,Spark,ON,47.0,35.0,10.0,,,,
2026-03-06,Nanos,ON,47.0,40.0,10.0,,2.0,,
2026-03-02,Leger,ON,52.0,36.0,4.0,,5.0,,
2026-02-28,Liaison,ON,47.0,33.0,12.0,,3.0,3.0,
2026-02-27,Nanos,ON,46.0,40.0,11.0,,2.0,1.0,
2026-02-26,Ipsos,ON,46.0,41.0,8.0,,4.0,,
2026-02-24,Pollara,ON,47.0,38.0,10.0,,,,
2026-02-23,Angus Reid,ON,48.0,36.0,10.0,,5.0,,
2026-02-23,Abacus,ON,48.0,39.0,8.0,,2.0,2.0,
2026-02-21,Liaison,ON,48.0,33.0,11.0,,3.0,3.0,
2026-02-20,Nanos,ON,46.0,40.0,9.0,,4.0,1.0,
2026-02-14,Liaison,ON,47.0,34.0,12.0,,3.0,4.0,
2026-02-13,Nanos,ON,46.0,41.0,10.0,,2.0,2.0,
2026-02-10,Abacus,ON,48.0,39.0,8.0,,4.0,2.0,
2026-02-07,Liaison,ON,47.0,35.0,11.0,,3.0,4.0,
2026-02-06,Research Co,ON,46.0,38.0,8.0,,3.0,3.0,
2026-02-06,Nanos,ON,46.0,41.0,8.0,,3.0,2.0,
2026-01-31,Liaison,ON,48.0,35.0,11.0,,1.0,3.0,
2026-01-30,EKOS,ON,51.0,29.0,15.0,,4.0,1.0,
2026-01-30,Nanos,ON,49.0,42.0,6.0,,2.0,2.0,
2026-01-27,Abacus,ON,46.0,41.0,8.0,,3.0,2.0,
2026-01-26,Angus Reid,ON,49.0,39.0,9.0,,2.0,1.0,
2026-01-26,Leger,ON,51.0,40.0,6.0,,2.0,,
2026-01-24,Liaison,ON,48.0,35.0,12.0,,1.0,2.0,
2026-01-23,Nanos,ON,45.0,44.0,6.0,,3.0,2.0,
2026-01-17,Liaison,ON,47.0,36.0,13.0,,1.0,2.0,
2026-01-16,Nanos,ON,45.0,42.0,7.0,,3.0,3.0,
2026-01-16,Abacus,ON,44.0,40.0,8.0,,4.0,3.0,
2026-01-14,Abacus,ON,44.0,43.0,8.0,,2.0,1.0,
2026-01-12,Pallas,ON,44.0,40.0,11.0,,3.0,,
2026-01-10,Liaison,ON,44.0,37.0,14.0,,2.0,2.0,
2026-01-09,Nanos,ON,44.0,42.0,8.0,,3.0,2.0,
2026-01-03,Liaison,ON,42.0,38.0,11.0,,4.0,2.0,
2026-01-02,Nanos,ON,40.0,42.0,9.0,,4.0,2.0,
2025-12-28,Liaison,ON,45.0,37.0,11.0,,3.0,1.0,
2025-12-26,Nanos,ON,40.0,39.0,11.0,,4.0,2.0,
2025-12-21,Liaison,ON,43.0,38.0,13.0,,2.0,1.0,
2025-12-19,Nanos,ON,39.0,38.0,12.0,,5.0,,
2025-12-15,Ipsos,ON,42.0,42.0,10.0,,3.0,3.0,
2025-12-15,Pallas,ON,47.0,41.0,9.0,,4.0,,
2025-12-15,Campaign,ON,46.0,38.0,8.0,,3.0,4.0,
2025-12-14,Innovative,ON,44.0,42.0,10.0,,4.0,,
2025-12-12,Nanos,ON,45.0,36.0,9.0,,6.0,,
2025-12-09,Abacus,ON,45.0,44.0,7.0,,2.0,1.0,
2025-12-05,Nanos,ON,47.0,37.0,6.0,,7.0,,
2025-12-01,Angus Reid,ON,48.0,39.0,9.0,,2.0,1.0,
2025-12-01,Abacus,ON,45.0,44.0,7.0,,3.0,1.0,
2025-12-01,Innovative,ON,45.0,40.0,9.0,,4.0,,
2025-11-30,Liaison,ON,45.0,35.0,13.0,,3.0,3.0,
2025-11-30,Leger,ON,48.0,35.0,9.0,,5.0,,
2025-11-28,Nanos,ON,48.0,41.0,6.0,,5.0,,
2025-11-27,Abacus,ON,46.0,43.0,8.0,,2.0,1.0,
2025-11-21,Nanos,ON,49.0,41.0,6.0,,5.0,,
2025-11-14,Nanos,ON,45.0,42.0,9.0,,4.0,,
2025-11-11,EKOS,ON,45.0,40.0,10.0,,2.0,2.0,
2025-11-08,Liaison,ON,49.0,35.0,10.0,,3.0,1.0,
2025-11-07,Nanos,ON,47.0,39.0,9.0,,3.0,1.0,
2025-11-07,North Poll,ON,42.0,44.0,9.0,,3.0,2.0,
2025-11-07,Angus Reid,ON,46.0,39.0,9.0,,4.0,1.0,
2025-11-06,Abacus,ON,44.0,43.0,8.0,,3.0,2.0,
2025-11-04,EKOS,ON,44.0,37.0,11.0,,4.0,3.0,
2025-11-03,Liaison,ON,43.0,38.0,12.0,,3.0,2.0,
2025-11-02,Leger,ON,48.0,42.0,6.0,,3.0,,
2025-10-31,Nanos,ON,45.0,40.0,11.0,,2.0,2.0,
2025-10-29,Abacus,ON,44.0,44.0,8.0,,3.0,1.0,
2025-10-27,Innovative,ON,43.0,43.0,9.0,,4.0,,
2025-10-24,EKOS,ON,49.0,33.0,12.0,,3.0,2.0,
2025-10-24,Nanos,ON,43.0,39.0,14.0,,2.0,2.0,
2025-10-17,Nanos,ON,43.0,40.0,12.0,,3.0,2.0,
2025-10-16,Pallas,ON,45.0,38.0,11.0,,4.0,,
2025-10-15,Abacus,ON,44.0,43.0,8.0,,3.0,1.0,
2025-10-10,Nanos,ON,39.0,41.0,11.0,,5.0,3.0,
2025-10-05,Leger,ON,48.0,39.0,9.0,,3.0,,
2025-10-03,Nanos,ON,40.0,41.0,10.0,,6.0,1.0,
