riding_code,riding_name,province,region,LPC_e,CPC_e,NDP_e,BQ_e,GPC_e,PPC_e,n_obs
10001,Avalon,Newfoundland and Labrador,Atlantic,1.0258,0.8158,0.347,1.0,0.5959,0.7228,2
10002,Cape Spear,Newfoundland and Labrador,Atlantic,1.0,1.0,1.0,1.0,1.0,1.0,0
10003,Central Newfoundland,Newfoundland and Labrador,Atlantic,1.0,1.0,1.0,1.0,1.0,1.0,0
10004,Labrador,Newfoundland and Labrador,Atlantic,0.6609,0.8626,0.6266,1.0,0.4898,0.9663,2
10005,Long Range Mountains,Newfoundland and Labrador,Atlantic,0.1033,1.9877,0.3144,1.0,0.5369,1.0699,2
10006,St. John's East/St. John's-Est,Newfoundland and Labrador,Atlantic,1.9843,0.8081,0.6654,1.0,0.4355,0.7482,2
10007,Terra Nova--The Peninsulas/Terra Nova--Les Péninsules,Newfoundland and Labrador,Atlantic,1.0,1.0,1.0,1.0,1.0,1.0,0
11001,Cardigan,Prince Edward Island,Atlantic,0.7094,0.8922,1.4577,1.0,1.2137,0.9276,2
11002,Charlottetown,Prince Edward Island,Atlantic,1.1129,1.3866,0.4325,1.0,2.001,0.7063,2
11003,Egmont,Prince Edward Island,Atlantic,1.2278,0.6866,1.2576,1.0,1.7359,1.2707,2
11004,Malpeque,Prince Edward Island,Atlantic,0.8532,1.3057,0.9926,1.0,1.9532,0.8755,2
12001,Acadie--Annapolis,Nova Scotia,Atlantic,1.0,1.0,1.0,1.0,1.0,1.0,0
12002,Cape Breton--Canso--Antigonish,Nova Scotia,Atlantic,1.0,1.0,1.0,1.0,1.0,1.0,0
12003,Central Nova/Nova-Centre,Nova Scotia,Atlantic,0.5238,1.1428,1.3344,1.0,0.6788,0.7891,2
12004,Cumberland--Colchester,Nova Scotia,Atlantic,0.5156,1.4219,0.7149,1.0,0.9305,0.9596,2
12005,Dartmouth--Cole Harbour,Nova Scotia,Atlantic,1.5695,1.1492,2.1701,1.0,0.9212,1.9513,2
12006,Halifax,Nova Scotia,Atlantic,0.9449,0.8278,2.0955,1.0,1.0068,0.6378,2
12007,Halifax West/Halifax-Ouest,Nova Scotia,Atlantic,0.7421,0.9241,1.9922,1.0,0.9341,0.8539,2
12008,Kings--Hants,Nova Scotia,Atlantic,0.9701,1.0562,1.3399,1.0,0.8549,0.9336,2
12009,Sackville--Bedford--Preston,Nova Scotia,Atlantic,1.0,1.0,1.0,1.0,1.0,1.0,0
12010,South Shore--St. Margarets,Nova Scotia,Atlantic,0.5704,1.5821,1.7212,1.0,0.8796,0.2052,2
12011,Sydney--Glace Bay,Nova Scotia,Atlantic,1.0,1.0,1.0,1.0,1.0,1.0,0
13001,Acadie--Bathurst,New Brunswick,Atlantic,1.4802,0.6835,0.3028,1.0,1.0178,1.257,2
13002,Beauséjour,New Brunswick,Atlantic,1.4797,1.2199,1.6133,1.0,1.5864,1.4666,2
13003,Fredericton--Oromocto,New Brunswick,Atlantic,1.0,1.0,1.0,1.0,1.0,1.0,0
