riding_code,riding_name,province,projected_winner,Share_LPC,Share_CPC,Share_NDP,Share_BQ,Share_GPC,Share_PPC
10001,Avalon,Newfoundland and Labrador,LPC,61.6,27.6,6.4,0.0,3.3,1.1
10002,Cape Spear,Newfoundland and Labrador,LPC,69.0,14.7,9.2,0.0,5.6,1.4
10003,Central Newfoundland,Newfoundland and Labrador,CPC,41.3,45.4,6.4,0.0,5.4,1.5
10004,Labrador,Newfoundland and Labrador,LPC,53.9,32.6,9.4,0.0,2.7,1.4
10005,Long Range Mountains,Newfoundland and Labrador,LPC,50.7,35.8,6.8,0.0,3.6,3.2
10006,St. John's East/St. John's-Est,Newfoundland and Labrador,LPC,64.0,17.7,14.3,0.0,2.8,1.1
10007,Terra Nova--The Peninsulas/Terra Nova--Les Péninsules,Newfoundland and Labrador,LPC,47.1,37.5,8.3,0.0,5.6,1.5
11001,Cardigan,Prince Edward Island,LPC,56.7,26.3,7.7,0.0,7.4,1.9
11002,Charlottetown,Prince Edward Island,LPC,66.4,14.3,6.0,0.0,11.7,1.6
11003,Egmont,Prince Edward Island,LPC,48.1,32.8,7.0,0.0,10.4,1.7
11004,Malpeque,Prince Edward Island,LPC,58.0,21.5,5.4,0.0,13.5,1.7
12001,Acadie--Annapolis,Nova Scotia,LPC,45.6,37.6,7.9,0.0,6.7,2.3
12002,Cape Breton--Canso--Antigonish,Nova Scotia,LPC,52.4,32.0,8.1,0.0,5.4,2.1
12003,Central Nova/Nova-Centre,Nova Scotia,LPC,54.4,30.4,8.8,0.0,4.6,1.8
12004,Cumberland--Colchester,Nova Scotia,LPC,51.9,32.0,7.2,0.0,6.8,2.2
12005,Dartmouth--Cole Harbour,Nova Scotia,LPC,65.3,10.4,14.9,0.0,5.7,3.8
12006,Halifax,Nova Scotia,LPC,60.4,9.6,22.9,0.0,5.8,1.3
12007,Halifax West/Halifax-Ouest,Nova Scotia,LPC,63.8,16.1,12.7,0.0,5.6,1.8
12008,Kings--Hants,Nova Scotia,LPC,61.5,21.4,8.9,0.0,5.8,2.3
12009,Sackville--Bedford--Preston,Nova Scotia,LPC,62.8,21.0,7.9,0.0,6.1,2.1
12010,South Shore--St. Margarets,Nova Scotia,LPC,59.6,24.4,7.7,0.0,6.5,1.7
12011,Sydney--Glace Bay,Nova Scotia,LPC,56.8,27.2,7.9,0.0,5.5,2.7
13001,Acadie--Bathurst,New Brunswick,LPC,67.1,18.2,5.5,0.0,5.4,3.8
13002,Beauséjour,New Brunswick,LPC,59.3,19.1,8.7,0.0,10.0,2.8
13003,Fredericton--Oromocto,New Brunswick,LPC,62.8,21.1,5.9,0.0,8.3,1.8
13004,Fundy Royal,New Brunswick,CPC,36.1,43.6,9.7,0.0,7.5,3.0
13005,Madawaska--Restigouche,New Brunswick,LPC,55.4,30.0,4.5,0.0,6.2,3.8
13006,Miramichi--Grand Lake,New Brunswick,LPC,50.4,36.0,3.9,0.0,7.9,1.7
13007,Moncton--Dieppe,New Brunswick,LPC,63.8,19.9,7.6,0.0,7.2,1.4
13008,Saint John--Kennebecasis,New Brunswick,LPC,59.1,25.9,6.7,0.0,6.8,1.4
13009,Saint John--St. Croix,New Brunswick,CPC,39.6,44.8,7.3,0.0,6.8,1.5
13010,Tobique--Mactaquac,New Brunswick,CPC,32.5,49.6,7.2,0.0,7.4,3.2
24001,Abitibi--Baie-James--Nunavik--Eeyou,Quebec,LPC,42.0,19.1,4.6,32.3,1.7,0.3
24002,Abitibi--Témiscamingue,Quebec,BQ,25.7,16.6,5.6,50.1,1.7,0.3
24003,Ahuntsic-Cartierville,Quebec,LPC,62.9,11.4,7.5,15.9,2.0,0.3
24004,Alfred-Pellan,Quebec,LPC,57.2,16.6,4.4,19.4,1.7,0.7
24005,Argenteuil--La Petite-Nation,Quebec,LPC,49.8,19.9,3.9,21.4,3.7,1.4
24006,Beauce,Quebec,CPC,19.4,56.6,2.7,13.5,1.7,6.1
24007,Beauharnois--Salaberry--Soulanges--Huntingdon,Quebec,BQ,31.1,15.4,4.1,45.2,3.0,1.2
24008,Beauport--Limoilou,Quebec,LPC,36.8,26.8,5.0,27.6,3.2,0.6
24009,Bécancour--Nicolet--Saurel--Alnôbak,Quebec,BQ,26.4,18.2,3.0,48.4,2.9,1.0
24010,Bellechasse--Les Etchemins--Lévis,Quebec,CPC,27.3,49.1,3.3,17.5,1.6,1.1
24011,Beloeil--Chambly,Quebec,BQ,32.4,9.7,6.4,48.8,1.8,0.9
24012,Berthier--Maskinongé,Quebec,BQ,23.5,13.7,23.2,36.4,2.2,1.1
24013,Bourassa,Quebec,LPC,61.1,12.7,6.7,16.5,1.6,1.5
24014,Brome--Missisquoi,Quebec,LPC,50.0,15.1,4.0,26.4,3.4,1.0
24015,Brossard--Saint-Lambert,Quebec,LPC,63.7,14.9,4.3,12.4,3.8,0.9
24016,Charlesbourg--Haute-Saint-Charles,Quebec,CPC,34.0,40.8,4.5,18.1,1.7,0.9
24017,Châteauguay--Les Jardins-de-Napierville,Quebec,LPC,47.1,17.6,3.8,27.6,3.1,0.9
24018,Chicoutimi--Le Fjord,Quebec,CPC,30.6,32.0,3.8,30.2,2.6,0.8
24019,Compton--Stanstead,Quebec,LPC,47.5,17.6,5.2,24.9,3.4,1.5
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,Quebec,CPC,29.4,44.4,3.4,18.9,2.9,0.9
24021,Côte-Nord--Kawawachikamach--Nitassinan,Quebec,BQ,27.0,21.4,3.5,46.0,2.0,0.2
24022,Dorval--Lachine--LaSalle,Quebec,LPC,61.8,16.5,5.1,11.9,3.4,1.3
24023,Drummond,Quebec,BQ,27.0,18.7,7.5,43.4,2.0,1.3
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,Quebec,BQ,37.3,9.7,3.0,47.0,2.0,1.0
24025,Gatineau,Quebec,LPC,61.7,15.1,5.0,15.1,1.8,1.2
24026,Hochelaga--Rosemont-Est,Quebec,LPC,48.3,7.0,14.2,25.9,4.4,0.2
24027,Honoré-Mercier,Quebec,LPC,62.3,16.9,4.9,12.2,2.6,1.1
24028,Hull--Aylmer,Quebec,LPC,63.4,13.0,7.1,11.3,4.3,0.9
24029,Joliette--Manawan,Quebec,BQ,30.2,11.4,4.1,50.6,3.6,0.2
24030,Jonquière,Quebec,BQ,25.4,24.9,5.0,41.5,2.1,1.0
24031,La Pointe-de-l'Île,Quebec,BQ,36.7,9.9,5.9,43.4,3.8,0.3
24032,La Prairie--Atateken,Quebec,LPC,45.6,13.4,4.0,33.3,2.9,0.7
24033,Lac-Saint-Jean,Quebec,BQ,25.2,21.6,3.4,47.5,1.2,1.1
24034,Lac-Saint-Louis,Quebec,LPC,69.1,19.2,4.0,3.3,3.4,1.0
24035,LaSalle--Émard--Verdun,Quebec,LPC,53.0,10.5,11.0,20.3,4.4,0.8
24036,Laurentides--Labelle,Quebec,BQ,34.2,11.2,3.6,45.9,3.3,1.7
24037,Laurier--Sainte-Marie,Quebec,LPC,54.3,6.1,19.7,14.5,4.8,0.7
24038,Laval--Les Îles,Quebec,LPC,52.2,26.6,5.0,13.9,1.9,0.4
24039,Les Pays-d'en-Haut,Quebec,LPC,42.1,14.3,4.0,35.0,3.5,1.2
24040,Lévis--Lotbinière,Quebec,CPC,28.6,46.8,3.3,18.6,1.6,1.1
24041,Longueuil--Charles-LeMoyne,Quebec,LPC,52.0,12.9,6.5,25.4,2.1,1.0
24042,Longueuil--Saint-Hubert,Quebec,LPC,40.7,10.9,6.2,38.6,3.4,0.3
24043,Louis-Hébert,Quebec,LPC,57.3,16.6,3.9,20.1,1.5,0.5
24044,Louis-Saint-Laurent--Akiawenhrahk,Quebec,CPC,31.9,43.2,4.1,17.9,2.0,1.0
24045,Marc-Aurèle-Fortin,Quebec,LPC,54.3,16.1,4.7,22.4,2.2,0.3
24046,Mégantic--L'Érable--Lotbinière,Quebec,CPC,20.8,57.0,3.5,15.4,1.9,1.4
24047,Mirabel,Quebec,BQ,33.3,17.3,3.6,41.4,3.4,1.1
24048,Mount Royal/Mont-Royal,Quebec,LPC,53.6,35.4,5.7,3.1,1.9,0.3
24049,Mont-Saint-Bruno--L'Acadie,Quebec,LPC,48.8,10.0,4.0,33.5,3.1,0.8
24050,Montcalm,Quebec,BQ,26.6,18.1,4.3,49.0,1.7,0.4
24051,Montmorency--Charlevoix,Quebec,BQ,28.7,31.2,3.4,33.0,2.9,0.8
24052,Notre-Dame-de-Grâce--Westmount,Quebec,LPC,65.5,15.5,8.4,4.6,5.2,0.8
24053,Outremont,Quebec,LPC,55.8,9.1,11.6,11.0,12.3,0.2
