riding_code,riding_name,province,region,LPC_pct,CPC_pct,NDP_pct,BQ_pct,GPC_pct,PPC_pct,winner,total_votes
10001,Avalon,Newfoundland and Labrador,Atlantic,58.61,36.05,4.86,0.0,0.0,0.0,LPC,47030
10002,Cape Spear,Newfoundland and Labrador,Atlantic,68.25,25.75,5.32,0.0,0.3,0.0,LPC,45988
10003,Central Newfoundland,Newfoundland and Labrador,Atlantic,43.55,54.08,2.37,0.0,0.0,0.0,CPC,40636
10004,Labrador,Newfoundland and Labrador,Atlantic,51.5,41.73,6.77,0.0,0.0,0.0,LPC,11284
10005,Long Range Mountains,Newfoundland and Labrador,Atlantic,42.75,50.35,4.36,0.0,0.0,1.16,CPC,46143
10006,St. John's East/St. John's-Est,Newfoundland and Labrador,Atlantic,62.28,25.93,11.23,0.0,0.35,0.0,LPC,46051
10007,Terra Nova--The Peninsulas/Terra Nova--Les Péninsules,Newfoundland and Labrador,Atlantic,47.93,47.96,4.1,0.0,0.0,0.0,CPC,40875
11001,Cardigan,Prince Edward Island,Atlantic,57.02,37.38,2.0,0.0,1.29,0.71,LPC,25261
11002,Charlottetown,Prince Edward Island,Atlantic,64.75,29.11,4.3,0.0,1.22,0.62,LPC,21089
11003,Egmont,Prince Edward Island,Atlantic,51.92,43.4,2.44,0.0,2.24,0.0,LPC,24008
11004,Malpeque,Prince Edward Island,Atlantic,57.6,36.63,1.38,0.0,3.9,0.49,LPC,26883
12001,Acadie--Annapolis,Nova Scotia,Atlantic,46.57,47.67,3.66,0.0,1.21,0.89,CPC,48298
12002,Cape Breton--Canso--Antigonish,Nova Scotia,Atlantic,51.59,43.23,4.0,0.0,0.0,0.69,LPC,48278
12003,Central Nova/Nova-Centre,Nova Scotia,Atlantic,51.93,42.75,3.28,0.0,0.91,0.66,LPC,50213
12004,Cumberland--Colchester,Nova Scotia,Atlantic,48.31,45.83,3.78,0.0,1.4,0.67,LPC,49530
12005,Dartmouth--Cole Harbour,Nova Scotia,Atlantic,67.69,22.73,7.04,0.0,1.05,1.26,LPC,59634
12006,Halifax,Nova Scotia,Atlantic,63.05,19.05,16.57,0.0,0.81,0.52,LPC,52160
12007,Halifax West/Halifax-Ouest,Nova Scotia,Atlantic,65.6,27.22,5.59,0.0,0.9,0.7,LPC,55184
12008,Kings--Hants,Nova Scotia,Atlantic,60.56,33.41,3.64,0.0,1.39,1.0,LPC,59179
12009,Sackville--Bedford--Preston,Nova Scotia,Atlantic,61.97,32.41,3.99,0.0,0.9,0.72,LPC,58190
12010,South Shore--St. Margarets,Nova Scotia,Atlantic,54.88,41.14,0.0,0.0,1.61,1.38,LPC,50711
12011,Sydney--Glace Bay,Nova Scotia,Atlantic,54.63,38.12,3.79,0.0,0.0,1.25,LPC,47166
13001,Acadie--Bathurst,New Brunswick,Atlantic,67.48,25.99,4.37,0.0,0.0,2.16,LPC,48248
13002,Beauséjour,New Brunswick,Atlantic,60.6,33.31,2.43,0.0,2.16,0.84,LPC,59631
13003,Fredericton--Oromocto,New Brunswick,Atlantic,61.29,32.29,1.81,0.0,3.13,0.41,LPC,50169
13004,Fundy Royal,New Brunswick,Atlantic,40.12,53.37,3.17,0.0,2.02,1.32,CPC,47611
13005,Madawaska--Restigouche,New Brunswick,Atlantic,55.18,39.63,3.04,0.0,0.0,2.15,LPC,41178
13006,Miramichi--Grand Lake,New Brunswick,Atlantic,47.15,48.15,2.53,0.0,2.17,0.0,CPC,38257
13007,Moncton--Dieppe,New Brunswick,Atlantic,63.0,31.22,3.7,0.0,2.07,0.0,LPC,47958
13008,Saint John--Kennebecasis,New Brunswick,Atlantic,58.11,37.33,2.68,0.0,1.64,0.0,LPC,44967
13009,Saint John--St. Croix,New Brunswick,Atlantic,41.49,53.08,3.28,0.0,1.59,0.0,CPC,50092
13010,Tobique--Mactaquac,New Brunswick,Atlantic,35.86,58.79,2.05,0.0,2.03,1.26,CPC,39667
24001,Abitibi--Baie-James--Nunavik--Eeyou,Quebec,QC,41.16,22.41,2.46,33.97,0.0,0.0,LPC,30561
24002,Abitibi--Témiscamingue,Quebec,QC,27.04,19.68,2.95,49.43,0.0,0.0,BQ,50115
24003,Ahuntsic-Cartierville,Quebec,QC,60.96,15.03,6.59,16.88,0.0,0.0,LPC,50577
24004,Alfred-Pellan,Quebec,QC,54.59,21.0,3.39,20.32,0.0,0.7,LPC,60331
24005,Argenteuil--La Petite-Nation,Quebec,QC,47.48,24.81,2.53,22.83,1.36,0.99,LPC,59233
24006,Beauce,Quebec,QC,19.14,59.71,1.75,13.65,0.0,5.76,CPC,62982
24007,Beauharnois--Salaberry--Soulanges--Huntingdon,Quebec,QC,32.11,19.37,2.43,43.92,1.17,0.99,BQ,68314
24008,Beauport--Limoilou,Quebec,QC,35.59,30.11,3.41,28.59,1.5,0.64,LPC,61418
24009,Bécancour--Nicolet--Saurel--Alnôbak,Quebec,QC,27.27,21.57,2.05,46.96,1.36,0.8,BQ,54318
24010,Bellechasse--Les Etchemins--Lévis,Quebec,QC,28.51,49.08,2.48,18.72,0.0,1.21,CPC,65398
24011,Beloeil--Chambly,Quebec,QC,34.0,13.52,3.51,48.26,0.0,0.71,BQ,68052
24012,Berthier--Maskinongé,Quebec,QC,24.3,17.18,21.72,34.99,0.89,0.93,BQ,61956
24013,Bourassa,Quebec,QC,58.55,16.31,5.9,17.14,0.0,1.2,LPC,36202
24014,Brome--Missisquoi,Quebec,QC,48.26,19.1,2.22,28.05,1.58,0.78,LPC,71952
24015,Brossard--Saint-Lambert,Quebec,QC,62.21,18.86,3.49,13.34,1.46,0.65,LPC,58739
24016,Charlesbourg--Haute-Saint-Charles,Quebec,QC,34.62,42.44,2.68,18.92,0.0,0.79,CPC,65266
24017,Châteauguay--Les Jardins-de-Napierville,Quebec,QC,45.16,21.66,2.2,29.06,1.24,0.69,LPC,62501
24018,Chicoutimi--Le Fjord,Quebec,QC,31.12,34.14,1.95,31.19,0.94,0.67,CPC,50839
24019,Compton--Stanstead,Quebec,QC,45.64,21.78,3.24,26.37,1.77,1.2,LPC,65620
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,Quebec,QC,30.32,45.84,1.7,20.0,1.08,0.74,CPC,62992
24021,Côte-Nord--Kawawachikamach--Nitassinan,Quebec,QC,27.39,25.19,1.72,43.68,0.0,0.0,BQ,37183
24022,Dorval--Lachine--LaSalle,Quebec,QC,59.36,20.68,4.17,12.57,1.63,0.95,LPC,50420
24023,Drummond,Quebec,QC,28.45,22.74,4.64,42.8,0.0,1.37,BQ,56239
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,Quebec,QC,38.29,12.37,1.76,45.79,0.0,0.79,BQ,56984
24025,Gatineau,Quebec,QC,60.54,19.13,2.81,16.33,0.0,0.88,LPC,57399
24026,Hochelaga--Rosemont-Est,Quebec,QC,46.14,10.56,13.04,27.18,2.6,0.0,LPC,51147
24027,Honoré-Mercier,Quebec,QC,60.16,21.48,3.59,12.93,1.14,0.71,LPC,49780
24028,Hull--Aylmer,Quebec,QC,62.11,16.95,5.55,12.14,2.19,0.66,LPC,51487
24029,Joliette--Manawan,Quebec,QC,31.26,15.24,2.46,49.27,1.77,0.0,BQ,57229
24030,Jonquière,Quebec,QC,26.02,30.25,1.84,39.99,0.88,1.02,BQ,50629
24031,La Pointe-de-l'Île,Quebec,QC,37.68,12.74,4.28,43.11,1.84,0.0,BQ,53209
24032,La Prairie--Atateken,Quebec,QC,44.06,17.23,2.38,34.8,0.98,0.54,LPC,66761
24033,Lac-Saint-Jean,Quebec,QC,26.25,24.69,1.71,46.21,0.0,1.13,BQ,47756
24034,Lac-Saint-Louis,Quebec,QC,67.63,23.67,2.92,3.63,1.42,0.73,LPC,64242
24035,LaSalle--Émard--Verdun,Quebec,QC,50.86,13.82,10.36,21.25,2.41,0.48,LPC,53953
