riding_code,riding_name,seat_vacant
10001,Avalon,False
10002,Cape Spear,False
10003,Central Newfoundland,False
10004,Labrador,False
10005,Long Range Mountains,False
10006,St. John's East/St. John's-Est,False
10007,Terra Nova--The Peninsulas/Terra Nova--Les Péninsules,False
11001,Cardigan,False
11002,Charlottetown,False
11003,Egmont,False
11004,Malpeque,False
12001,Acadie--Annapolis,False
12002,Cape Breton--Canso--Antigonish,False
12003,Central Nova/Nova-Centre,False
12004,Cumberland--Colchester,False
12005,Dartmouth--Cole Harbour,False
12006,Halifax,False
12007,Halifax West/Halifax-Ouest,False
12008,Kings--Hants,False
12009,Sackville--Bedford--Preston,False
12010,South Shore--St. Margarets,False
12011,Sydney--Glace Bay,False
13001,Acadie--Bathurst,False
13002,Beauséjour,False
13003,Fredericton--Oromocto,False
13004,Fundy Royal,False
13005,Madawaska--Restigouche,False
13006,Miramichi--Grand Lake,False
13007,Moncton--Dieppe,False
13008,Saint John--Kennebecasis,False
13009,Saint John--St. Croix,False
13010,Tobique--Mactaquac,False
24001,Abitibi--Baie-James--Nunavik--Eeyou,False
24002,Abitibi--Témiscamingue,False
24003,Ahuntsic-Cartierville,False
24004,Alfred-Pellan,False
24005,Argenteuil--La Petite-Nation,False
24006,Beauce,False
24007,Beauharnois--Salaberry--Soulanges--Huntingdon,False
24008,Beauport--Limoilou,False
24009,Bécancour--Nicolet--Saurel--Alnôbak,False
24010,Bellechasse--Les Etchemins--Lévis,False
24011,Beloeil--Chambly,False
24012,Berthier--Maskinongé,False
24013,Bourassa,False
24014,Brome--Missisquoi,False
24015,Brossard--Saint-Lambert,False
24016,Charlesbourg--Haute-Saint-Charles,False
24017,Châteauguay--Les Jardins-de-Napierville,False
24018,Chicoutimi--Le Fjord,True
24019,Compton--Stanstead,False
24020,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,False
24021,Côte-Nord--Kawawachikamach--Nitassinan,False
24022,Dorval--Lachine--LaSalle,False
24023,Drummond,False
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,False
24025,Gatineau,False
24026,Hochelaga--Rosemont-Est,False
24027,Honoré-Mercier,False
24028,Hull--Aylmer,False
24029,Joliette--Manawan,False
24030,Jonquière,False
24031,La Pointe-de-l'Île,False
24032,La Prairie--Atateken,False
24033,Lac-Saint-Jean,False
24034,Lac-Saint-Louis,False
24035,LaSalle--Émard--Verdun,False
24036,Laurentides--Labelle,False
24037,Laurier--Sainte-Marie,False
24038,Laval--Les Îles,False
24039,Les Pays-d'en-Haut,False
24040,Lévis--Lotbinière,False
24041,Longueuil--Charles-LeMoyne,False
24042,Longueuil--Saint-Hubert,False
24043,Louis-Hébert,False
24044,Louis-Saint-Laurent--Akiawenhrahk,False
24045,Marc-Aurèle-Fortin,False
24046,Mégantic--L'Érable--Lotbinière,False
24047,Mirabel,False
24048,Mount Royal/Mont-Royal,False
24049,Mont-Saint-Bruno--L'Acadie,False
24050,Montcalm,False
24051,Montmorency--Charlevoix,False
24052,Notre-Dame-de-Grâce--Westmount,False
24053,Outremont,False
24054,Papineau,False
24055,Pierre-Boucher--Les Patriotes--Verchères,False
24056,Pierrefonds--Dollard,False
24057,Pontiac--Kitigan Zibi,False
24058,Portneuf--Jacques-Cartier,False
24059,Québec Centre/Québec-Centre,False
24060,Repentigny,False
24061,Richmond--Arthabaska,False
24062,Rimouski--La Matapédia,False
24063,Rivière-des-Mille-Îles,False
24064,Rivière-du-Nord,False
24065,Rosemont--La Petite-Patrie,False
24066,Saint-Hyacinthe--Bagot--Acton,True
24067,Saint-Jean,False
24068,Saint-Laurent,False
24069,Saint-Léonard--Saint-Michel,False
24070,Saint-Maurice--Champlain,False
24071,Shefford,False
24072,Sherbrooke,False
24073,Terrebonne,False
24074,Thérèse-De Blainville,False
24075,Trois-Rivières,False
24076,Vaudreuil,False
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,False
24078,Vimy,False
35001,Ajax,False
35002,Algonquin--Renfrew--Pembroke,False
35003,Aurora--Oak Ridges--Richmond Hill,False
35004,Barrie South--Innisfil/Barrie-Sud--Innisfil,False
35005,Barrie--Springwater--Oro-Medonte,False
35006,Bay of Quinte,False
35007,Beaches--East York,True
35008,Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord,False
35009,Brampton Centre/Brampton-Centre,False
35010,Brampton--Chinguacousy Park,False
35011,Brampton East/Brampton-Est,False
35012,Brampton North--Caledon/Brampton-Nord--Caledon,False
35013,Brampton South/Brampton-Sud,False
35014,Brampton West/Brampton-Ouest,False
35015,Brantford--Brant South--Six Nations/Brantford--Brant-Sud--Six Nations,False
35016,Bruce--Grey--Owen Sound,False
35017,Burlington,False
35018,Burlington North--Milton West/Burlington-Nord--Milton-Ouest,False
35019,Cambridge,False
35020,Carleton,False
35021,Chatham-Kent--Leamington,False
35022,Davenport,False
35023,Don Valley North/Don Valley-Nord,False
35024,Don Valley West/Don Valley-Ouest,False
35025,Dufferin--Caledon,False
35026,Eglinton--Lawrence,False
35027,Elgin--St. Thomas--London South/Elgin--St. Thomas--London-Sud,False
35028,Essex,False
35029,Etobicoke Centre/Etobicoke-Centre,False
35030,Etobicoke--Lakeshore,False
35031,Etobicoke North/Etobicoke-Nord,False
