date,LPC_mean,LPC_low,LPC_high,CPC_mean,CPC_low,CPC_high,NDP_mean,NDP_low,NDP_high,BQ_mean,BQ_low,BQ_high,GPC_mean,GPC_low,GPC_high,PPC_mean,PPC_low,PPC_high
2026-04-18,209.0,187,232,101.3,81,122,9.7,6,14,21.2,12,28,1.8,1,2,0.0,0,0
2026-04-19,209.0,187,232,101.3,81,122,9.7,6,14,21.2,12,28,1.8,1,2,0.0,0,0
2026-04-21,211.7,190,234,99.0,79,120,9.4,6,14,21.2,13,27,1.7,1,2,0.0,0,0
2026-04-28,209.2,186,232,101.2,80,123,9.5,6,14,21.5,15,27,1.6,1,2,0.0,0,0
2026-04-27,209.2,186,232,101.2,80,123,9.5,6,14,21.5,15,27,1.6,1,2,0.0,0,0
2026-05-04,209.2,186,232,101.2,80,123,9.5,6,14,21.5,15,27,1.6,1,2,0.0,0,0
2026-05-11,208.4,186,231,102.9,82,124,8.9,5,13,21.1,16,26,1.6,1,2,0.0,0,0
2026-05-18,211.5,189,234,99.5,78,122,9.3,6,14,21.1,16,26,1.6,1,2,0.0,0,0
2026-05-25,208.4,187,230,102.1,82,123,9.4,6,14,21.4,16,26,1.7,1,2,0.0,0,0
2026-06-01,208.9,188,230,99.7,80,120,10.4,7,15,22.2,17,26,1.7,1,2,0.0,0,0
2026-06-08,204.8,182,228,103.6,83,125,11.0,6,15,21.8,17,26,1.8,1,3,0.0,0,0
2026-06-15,198.7,176,223,107.8,85,129,12.0,7,16,22.5,17,27,1.9,1,3,0.0,0,0
2026-06-22,197.6,177,220,109.1,88,129,12.2,7,16,22.1,17,26,2.0,1,3,0.0,0,0
